id,vote_id,winner_id,loser_id,winner_text,loser_text,response_time_s
r3,4429771,237269,237264,Vanderbilt University,University Of Maryland College Park,2.216
r3,4429772,237242,237359,University Of North Carolina At Chapel Hill,Oklahoma State University Main Campus,2.03
r3,4429773,237294,237360,Brandeis University,Wayne State University,1.564
r3,4429774,237291,237307,Washington State University,Texas A & M University,5.048
r3,4429775,237322,237298,University Of Missouri - Columbia,University Of California-San Francisco,1.926
r3,4429776,237240,237363,University Of California-Los Angeles,University Of North Texas,3.412
r3,4429777,237234,237324,University Of California-Berkeley,George Mason University,2.237
r7,4429778,237308,237255,Australian National University,Ohio State University Main Campus,5.275
r7,4429779,237244,237370,University Of Pennsylvania,Memorial University of Newfoundland,2.274
r3,4429780,237277,237371,University Of Southern California,Utah State University,5.301
r3,4429781,237280,237253,Emory University,Penn State University,3.066
r3,4429782,237252,237311,London School of Economics,Iowa State University,2.841
r3,4429783,237247,237262,New York University,University Of California-Davis,8.976
r3,4429785,237300,237260,Florida State University,Rutgers The State University Of New Jersey New Brunswick Campus,5.194
r7,4429786,237246,237357,Duke University,"National University of Ireland, Galway.",1.89
r3,4429787,237327,237371,University of Edinburgh,Utah State University,2.104
r7,4429788,237294,237338,Brandeis University,University of Central Florida,1.418
r3,4429789,237340,237363,Baylor University,University Of North Texas,1.817
r7,4429790,237263,237364,University Of Massachusetts Amherst,University of Saskatchewan,1.825
r3,4429791,237293,237359,Arizona State University,Oklahoma State University Main Campus,2.767
r7,4429792,237258,237336,University Of Arizona,Queen's University,2.335
r7,4429793,237252,237324,London School of Economics,George Mason University,1.488
r3,4429794,237238,237345,University Of Chicago,Kansas State University,4.932
r7,4429795,237301,237358,Temple University,Howard University,2.822
r7,4429796,237242,237358,University Of North Carolina At Chapel Hill,Howard University,1.542
r3,4429797,237245,237253,Northwestern University,Penn State University,3.214
r7,4429798,237247,237353,New York University,Brigham Young University,1.792
r3,4429799,237250,237368,Yale University,Western Michigan University,3.483
r7,4429800,237299,237350,State University Of New York At Buffalo,Carleton University,2.267
r7,4429801,237238,237261,University Of Chicago,University Of California-San Diego,2.242
r7,4429802,237275,237328,University Of Iowa,University of Calgary,2.567
r7,4429803,237249,237284,Cornell University,Boston College,3.009
r3,4429804,237273,237350,University of British Columbia,Carleton University,9.729
r7,4429805,237235,237257,University Of Michigan-Ann Arbor,University Of California-Irvine,1.503
r7,4429806,237275,237367,University Of Iowa,University Of Akron,1.228
r3,4429807,237259,237274,Johns Hopkins University,University Of Illinois At Chicago,5.064
r7,4429808,237327,237286,University of Edinburgh,University Of California-Riverside,3.553
r3,4429809,237298,237323,University Of California-San Francisco,University Of Miami,2.525
r7,4429810,237252,237334,London School of Economics,Case Western Reserve University,1.293
r3,4429811,237275,237273,University Of Iowa,University of British Columbia,1.662
r7,4429812,237251,237295,University Of Texas At Austin,Michigan State University,1.866
r3,4429813,237235,237318,University Of Michigan-Ann Arbor,University Of Nebraska - Lincoln,1.945
r7,4429814,237355,237363,Mississippi State University,University Of North Texas,1.36
r3,4429815,237241,237304,Stanford University,University Of Georgia,1.619
r3,4429816,237305,237299,Syracuse University Main Campus,State University Of New York At Buffalo,2.855
r3,4429817,237263,237333,University Of Massachusetts Amherst,Fordham University,1.859
r3,4429819,237245,237253,Northwestern University,Penn State University,2.71
r7,4429820,237372,237358,University of Durham,Howard University,2.557
r7,4429821,237244,237359,University Of Pennsylvania,Oklahoma State University Main Campus,1.849
r3,4429822,237242,237334,University Of North Carolina At Chapel Hill,Case Western Reserve University,2.317
r3,4429823,237302,237346,Tulane University,University Of Kentucky,1.897
r7,4429824,237242,237371,University Of North Carolina At Chapel Hill,Utah State University,2.643
r3,4429826,237312,237321,Northeastern University,University of Sussex,2.444
r7,4429827,237282,237371,University Of Oregon,Utah State University,1.881
r7,4429829,237258,237368,University Of Arizona,Western Michigan University,1.545
r7,4429831,237249,237365,Cornell University,Louisiana State University And Agricultural And Mechanical College,1.454
r7,4429833,237279,237356,The New School for Social Research,University of Waterloo,2.016
r3,4429834,237323,237367,University Of Miami,University Of Akron,7.225
r3,4429836,237291,237255,Washington State University,Ohio State University Main Campus,1.607
r3,4429838,237257,237335,University Of California-Irvine,University of Western Ontario,1.995
